Negative	an unintentionally surreal kid 's picture ... in which actors in bad bear suits enact a sort of inter-species parody of a vh1 behind the music episode .
Negative	the kind of film that leaves you scratching your head in amazement over the fact that so many talented people could participate in such an ill-advised and poorly executed idea .
Positive	a flawed but engrossing thriller .
Positive	may be more genial than ingenious , but it gets the job done .
Positive	... by the time it 's done with us , mira nair 's new movie has its audience giddy with the delight of discovery , of having been immersed in a foreign culture only to find that human nature is pretty much the same all over .
Negative	this insufferable movie is meant to make you think about existential suffering .
Negative	made me unintentionally famous -- as the queasy-stomached critic who staggered from the theater and blacked out in the lobby .
Positive	ryan gosling ... is at 22 a powerful young actor .
Negative	mckay seems embarrassed by his own invention and tries to rush through the intermediary passages , apparently hoping that the audience will not notice the glaring triteness of the plot device he has put in service .
Negative	shreve 's graceful dual narrative gets clunky on the screen , and we keep getting torn away from the compelling historical tale to a less-compelling soap opera .
Negative	rarely has a film 's title served such dire warning .
Positive	a delicious and delicately funny look at the residents of a copenhagen neighborhood coping with the befuddling complications life tosses at them .
Negative	it might not be 1970s animation , but everything else about it is straight from the saturday morning cartoons -- a retread story , bad writing , and the same old silliness .
Negative	this is not an easy film .
Negative	why anyone who is not a character in this movie should care is beyond me .
Negative	the film feels formulaic , its plot and pacing typical hollywood war-movie stuff , while the performances elicit more of a sense of deja vu than awe .
Positive	plummer steals the show without resorting to camp as nicholas ' wounded and wounding uncle ralph .
Negative	frankly , it 's pretty stupid .
Positive	a confident , richly acted , emotionally devastating piece of work and 2002 's first great film
Negative	a noble failure .
Negative	with more character development this might have been an eerie thriller ; with better payoffs , it could have been a thinking man 's monster movie .
Positive	-lrb- a -rrb- smarter and much funnier version of the old police academy flicks .
Positive	ken russell would love this .
Positive	a marvelous performance by allison lohman as an identity-seeking foster child .
Positive	a beautiful paean to a time long past .
Negative	... irritating soul-searching garbage .
Positive	feeling to it , but like the 1920 's , the trip there is a great deal of fun .
Positive	see it for his performance if nothing else .
Negative	if we 're to slap protagonist genevieve leplouff because she 's french , do we have that same option to slap her creators because they 're clueless and inept ?
Negative	nijinsky says , ' i know how to suffer ' and if you see this film you 'll know too .
Negative	` it looks good , sonny , but you missed the point . '
Positive	a hallmark film in an increasingly important film industry and worth the look .
Negative	contrived , awkward and filled with unintended laughs , the film shows signs that someone other than the director got into the editing room and tried to improve things by making the movie go faster .
Positive	when compared to the usual , more somber festival entries , davis ' highly personal brand of romantic comedy is a tart , smart breath of fresh air that stands out from the pack even if the picture itself is somewhat problematic .
Positive	austin powers for the most part is extremely funny , the first part making up for any flaws that come later .
Positive	this film can only point the way -- but thank goodness for this signpost .
Positive	a dazzling dream of a documentary .
Positive	, `` they 're out there ! ''
Negative	it 's the humanizing stuff that will probably sink the film for anyone who does n't think about percentages all day long .
Positive	familiar but utterly delightful .
Negative	the very simple story seems too simple and the working out of the plot almost arbitrary .
Negative	gorgeous to look at but insufferably tedious and turgid ... a curiously constricted epic .
Positive	be patient with the lovely hush !
Negative	an ill-conceived jumble that 's not scary , not smart and not engaging .
Negative	for a movie about the power of poetry and passion , there is precious little of either .
Negative	burns ' fifth beer-soaked film feels in almost every possible way -- from the writing and direction to the soggy performances -- tossed off .
Negative	... begins with promise , but runs aground after being snared in its own tangled plot .
Positive	poignant and delicately complex .
Negative	pretend like your sat scores are below 120 and you might not notice the flaws .
Negative	and it 's not that funny -- which is just generally insulting .
Negative	has nothing good to speak about other than the fact that it is relatively short , tries its best to hide the fact that seagal 's overweight and out of shape .
Positive	a little better than sorcerer 's stone .
Positive	-lrb- `` take care of my cat '' -rrb- is an honestly nice little film that takes us on an examination of young adult life in urban south korea through the hearts and minds of the five principals .
Positive	a bittersweet contemporary comedy about benevolent deception , which , while it may not rival the filmmaker 's period pieces , is still very much worth seeing .
Negative	a muddy psychological thriller rife with miscalculations .
Positive	writer \/ director m. night shyamalan 's ability to pull together easily accessible stories that resonate with profundity is undeniable .
Positive	spielberg 's realization of a near-future america is masterful .
Negative	rarely has sex on screen been so aggressively anti-erotic .
Negative	if i want music , i 'll buy the soundtrack .
Negative	they presume their audience wo n't sit still for a sociology lesson , however entertainingly presented , so they trot out the conventional science-fiction elements of bug-eyed monsters and futuristic women in skimpy clothes .
Negative	poor ben bratt could n't find stardom if mapquest emailed him point-to-point driving directions .
Negative	stealing harvard ca n't even do that much .
Positive	while this movie , by necessity , lacks fellowship 's heart , two towers outdoes its spectacle .
Negative	a dark comedy that goes for sick and demented humor simply to do so .
