Numeric	How long is human gestation ?
Human	Who is known as `` the world 's oldest teenager '' ?
Location	What is George Lucas 's e-mail address ?
Description	What are Cushman and Wakefield known for ?
Numeric	How many states did Richard Nixon carry in 1972 ?
Description	How does the tail affect the flight of a kite ?
Location	What country was Brian Boru an 11th-century king of ?
Description	What is a `` False Moon '' ?
Entity	What is the name of the chronic neurological autoimmune disease which attacks the protein sheath that surrounds nerve cells causing a gradual loss of movement in the body ?
Numeric	How many words are there in the Spanish language ?
Description	What is the spectrum of a sine wave ?
Entity	What animal has killed the most people ?
Description	How did names come about ?
Location	Where do hyenas live ?
Location	Where did the ukulele originate ?
Location	What state was Herbert Hoover born in ?
Human	Whose image is alleged to be on The Shroud of Turin ?
Entity	Name the French historical period during the reign of Napoleon III .
Numeric	How long does cocaine stay in your system ?
Location	Where did the sport of caber-tossing originate ?
Location	What stadium do the Miami Dolphins play their home games in ?
Entity	What happened on January 15 , 1969 ?
Entity	What is a fear of drinking ?
Description	What is a wop ?
Description	What is lung cancer ?
Location	Where can I find a lesson plan for teaching the metric system conversion to American standard ?
Entity	What 's the common name for acetylsalicylic acid ?
Entity	What instrument is Ray Charles best known for playing ?
Abbreviation	What does NN O `` mean when used as a prefix in Irish surnames ?
Description	What is humidity ?
Entity	What golfing accessory was patented by George Grant on December 12
Description	Why do some jets have a vapor trail , and others do not ?
Description	What is the Kashmir issue ?
Numeric	How fast can a Corvette go ?
Human	Whom does Uncle Duke 's girl friend , Honey , room with ?
Location	Where is Los Vegas ?
Description	What is time ?
Entity	What organic fuel do bog-dwellers use a `` slane '' to cut ?
Location	What country did the ancient Romans refer to as Hibernia ?
Entity	In what religion was Isis the nature goddess ?
Human	Who is the sexiest women in the world ?
Description	How do you ask a total stranger out on a date ?
Human	What are names of two old men who appear in the serial tv Muppets Show ?
Human	Name Dick Tracy 's two children .
Location	Where did Honecker rule ?
Entity	What disease is the second-biggest killer of North Americans ?
